Entry	Reviewed	Entry Name	Gene Names	Organism	Length	Subcellular location [CC]	Topological domain	Transmembrane																																			Gene Ontology (cellular component)
A0A024R806	unreviewed	A0A024R806_HUMAN	MGC10911 hCG_19463	Homo sapiens (Human)	122																																						protein-containing complex [GO:0032991]
Q6PGN9	reviewed	PSRC1_HUMAN	PSRC1 DDA3 FP3214	Homo sapiens (Human)	363	SUBCELLULAR LOCATION: Cytoplasm. Cytoplasm, cytoskeleton, spindle. Cytoplasm, cytoskeleton, spindle pole. Note=Detected at the mitotic spindle and spindle poles. Diffusely distributed throughout the cell during interphase.																																					cytoplasm [GO:0005737]; cytosol [GO:0005829]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; nucleoplasm [GO:0005654]; spindle [GO:0005819]; spindle pole [GO:0000922]
A0A0S2Z4R2	unreviewed	A0A0S2Z4R2_HUMAN	PSTPIP2 hCG_24029	Homo sapiens (Human)	334																																						cytoskeleton [GO:0005856]; cytosol [GO:0005829]; membrane [GO:0016020]
F6KD01	unreviewed	F6KD01_HUMAN	PTEN	Homo sapiens (Human)	403	SUBCELLULAR LOCATION: Cell projection, dendritic spine {ECO:0000256|ARBA:ARBA00004552}. Cytoplasm {ECO:0000256|PIRNR:PIRNR038025}. Nucleus {ECO:0000256|PIRNR:PIRNR038025}. Nucleus, PML body {ECO:0000256|PIRNR:PIRNR038025}. Postsynaptic density {ECO:0000256|ARBA:ARBA00034105}.																																					cytosol [GO:0005829]; myelin sheath adaxonal region [GO:0035749]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; PML body [GO:0016605]; Schmidt-Lanterman incisure [GO:0043220]; synapse [GO:0045202]
Q15262	reviewed	PTPRK_HUMAN	PTPRK PTPK	Homo sapiens (Human)	1439	SUBCELLULAR LOCATION: Cell junction, adherens junction. Cell membrane; Single-pass type I membrane protein.	"TOPO_DOM 27..752; /note=""Extracellular""; /evidence=""ECO:0000255""; TOPO_DOM 775..1439; /note=""Cytoplasmic""; /evidence=""ECO:0000255"""	"TRANSMEM 753..774; /note=""Helical""; /evidence=""ECO:0000255"""																																			adherens junction [GO:0005912]; cell junction [GO:0030054]; cell surface [GO:0009986]; cell-cell junction [GO:0005911]; intracellular membrane-bounded organelle [GO:0043231]; leading edge membrane [GO:0031256]; membrane [GO:0016020]; plasma membrane [GO:0005886]
P28827	reviewed	PTPRM_HUMAN	PTPRM PTPRL1	Homo sapiens (Human)	1452	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10753936}; Single-pass type I membrane protein. Note=Localizes in regions of cell-cell contact. {ECO:0000269|PubMed:10753936}.	"TOPO_DOM 21..742; /note=""Extracellular""; /evidence=""ECO:0000255""; TOPO_DOM 765..1452; /note=""Cytoplasmic""; /evidence=""ECO:0000255"""	"TRANSMEM 743..764; /note=""Helical""; /evidence=""ECO:0000255"""																																			adherens junction [GO:0005912]; cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; intracellular non-membrane-bounded organelle [GO:0043232]; lamellipodium [GO:0030027]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
P26022	reviewed	PTX3_HUMAN	PTX3 TNFAIP5 TSG14	Homo sapiens (Human)	381	SUBCELLULAR LOCATION: Secreted.																																					extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724]
F6WQW2	unreviewed	F6WQW2_HUMAN	RANBP1	Homo sapiens (Human)	278																																						centrosome [GO:0005813]; cytosol [GO:0005829]
P50120	reviewed	RET2_HUMAN	RBP2 CRBP2	Homo sapiens (Human)	134	SUBCELLULAR LOCATION: Cytoplasm.																																					cytosol [GO:0005829]; nucleus [GO:0005634]
Q6ZRY4	reviewed	RBPS2_HUMAN	RBPMS2	Homo sapiens (Human)	209	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:25064856}.																																					cytoplasm [GO:0005737]
O75792	reviewed	RNH2A_HUMAN	RNASEH2A RNASEHI RNHIA	Homo sapiens (Human)	299	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.																																					cytosol [GO:0005829]; nucleoplasm [GO:0005654]; ribonuclease H2 complex [GO:0032299]
A0A024QZF2	unreviewed	A0A024QZF2_HUMAN	RRAS hCG_21124	Homo sapiens (Human)	218																																						membrane [GO:0016020]
P31350	reviewed	RIR2_HUMAN	RRM2 RR2	Homo sapiens (Human)	389	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22632967}. Nucleus {ECO:0000269|PubMed:22632967}. Note=Localized to the cytoplasm in S phase cells. May localize to the nucleus in G2 phase cells. {ECO:0000269|PubMed:22632967}.																																					cytosol [GO:0005829]; nucleus [GO:0005634]; ribonucleoside-diphosphate reductase complex [GO:0005971]
Q7LG56	reviewed	RIR2B_HUMAN	RRM2B P53R2	Homo sapiens (Human)	351	SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=Translocates from cytoplasm to nucleus in response to DNA damage.																																					cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; ribonucleoside-diphosphate reductase complex [GO:0005971]
Q8IVG5	reviewed	SAM9L_HUMAN	SAMD9L C7orf6 DRIF2 KIAA2005 UEF	Homo sapiens (Human)	1584	SUBCELLULAR LOCATION: Early endosome {ECO:0000250|UniProtKB:Q69Z37}. Mitochondrion {ECO:0000269|PubMed:35310830}.																																					cytoplasm [GO:0005737]; early endosome [GO:0005769]; mitochondrion [GO:0005739]
A0A140VKF3	unreviewed	A0A140VKF3_HUMAN		Homo sapiens (Human)	418																																						axon hillock [GO:0043203]; basement membrane [GO:0005604]; extracellular space [GO:0005615]; perinuclear region of cytoplasm [GO:0048471]
P51688	reviewed	SPHM_HUMAN	SGSH HSS	Homo sapiens (Human)	502	SUBCELLULAR LOCATION: Lysosome {ECO:0000269|PubMed:15146460}.																																					extracellular exosome [GO:0070062]; lysosomal lumen [GO:0043202]; lysosome [GO:0005764]
Q15796	reviewed	SMAD2_HUMAN	SMAD2 MADH2 MADR2	Homo sapiens (Human)	467	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16751101, ECO:0000269|PubMed:19289081, ECO:0000269|PubMed:21145499, ECO:0000269|PubMed:9865696}. Nucleus {ECO:0000269|PubMed:16751101, ECO:0000269|PubMed:19289081, ECO:0000269|PubMed:21145499, ECO:0000269|PubMed:21599657, ECO:0000269|PubMed:22781750, ECO:0000269|PubMed:9865696}. Note=Cytoplasmic and nuclear in the absence of TGF-beta. On TGF-beta stimulation, migrates to the nucleus when complexed with SMAD4 (PubMed:9865696, PubMed:21145499). On dephosphorylation by phosphatase PPM1A, released from the SMAD2/SMAD4 complex, and exported out of the nucleus by interaction with RANBP1 (PubMed:16751101, PubMed:19289081). Localized mainly to the nucleus in the early stages of embryo development with expression becoming evident in the cytoplasm at the blastocyst and epiblast stages (By similarity). {ECO:0000250|UniProtKB:Q62432, ECO:0000269|PubMed:16751101, ECO:0000269|PubMed:19289081, ECO:0000269|PubMed:21145499, ECO:0000269|PubMed:9865696}.																																					activin responsive factor complex [GO:0032444]; chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; heteromeric SMAD protein complex [GO:0071144]; homomeric SMAD protein complex [GO:0071142]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; SMAD protein complex [GO:0071141]; transcription regulator complex [GO:0005667]
P84022	reviewed	SMAD3_HUMAN	SMAD3 MADH3	Homo sapiens (Human)	425	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15799969, ECO:0000269|PubMed:16156666, ECO:0000269|PubMed:16751101, ECO:0000269|PubMed:17327236, ECO:0000269|PubMed:19218245, ECO:0000269|PubMed:19289081, ECO:0000269|PubMed:21145499, ECO:0000269|PubMed:22781750}. Nucleus {ECO:0000269|PubMed:15601644, ECO:0000269|PubMed:15799969, ECO:0000269|PubMed:16156666, ECO:0000269|PubMed:16751101, ECO:0000269|PubMed:19218245, ECO:0000269|PubMed:19289081, ECO:0000269|PubMed:21145499, ECO:0000269|PubMed:22781750}. Note=Cytoplasmic and nuclear in the absence of TGF-beta. On TGF-beta stimulation, migrates to the nucleus when complexed with SMAD4 (PubMed:15799969, PubMed:21145499). Through the action of the phosphatase PPM1A, released from the SMAD2/SMAD4 complex, and exported out of the nucleus by interaction with RANBP1 (PubMed:16751101, PubMed:19289081). Co-localizes with LEMD3 at the nucleus inner membrane (PubMed:15601644). MAPK-mediated phosphorylation appears to have no effect on nuclear import (PubMed:19218245). PDPK1 prevents its nuclear translocation in response to TGF-beta (PubMed:17327236). Localized mainly to the nucleus in the early stages of embryo development with expression becoming evident in the cytoplasm of the inner cell mass at the blastocyst stage (By similarity). {ECO:0000250|UniProtKB:Q8BUN5, ECO:0000269|PubMed:15601644, ECO:0000269|PubMed:15799969, ECO:0000269|PubMed:16751101, ECO:0000269|PubMed:17327236, ECO:0000269|PubMed:19218245, ECO:0000269|PubMed:19289081, ECO:0000269|PubMed:21145499}.																																					chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; heteromeric SMAD protein complex [GO:0071144]; nuclear inner membrane [GO:0005637]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; SMAD protein complex [GO:0071141]; transcription regulator complex [GO:0005667]
B4DSC8	unreviewed	B4DSC8_HUMAN		Homo sapiens (Human)	715																																						SWI/SNF complex [GO:0016514]
Q6P5V6	unreviewed	Q6P5V6_HUMAN	SNX5	Homo sapiens (Human)	412																																						cytoplasmic vesicle [GO:0031410]
Q99523	reviewed	SORT_HUMAN	SORT1	Homo sapiens (Human)	831	SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000269|PubMed:16787399, ECO:0000269|PubMed:18817523}; Single-pass type I membrane protein {ECO:0000305}. Endosome membrane {ECO:0000269|PubMed:18817523}; Single-pass type I membrane protein {ECO:0000305}. Endoplasmic reticulum membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Nucleus membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Cell membrane; Single-pass type I membrane protein; Extracellular side. Lysosome membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Note=Localized to membranes of the endoplasmic reticulum, endosomes, Golgi stack, lysosomes and nucleus. A small fraction of the protein is also localized to the plasma membrane. May also be found in SLC2A4/GLUT4 storage vesicles (GSVs) in adipocytes. Localization to the plasma membrane in adipocytes may be enhanced by insulin.	"TOPO_DOM 78..755; /note=""Extracellular""; /evidence=""ECO:0000255""; TOPO_DOM 779..831; /note=""Cytoplasmic""; /evidence=""ECO:0000255"""	"TRANSMEM 756..778; /note=""Helical""; /evidence=""ECO:0000255"""																																			cell surface [GO:0009986]; cerebellar climbing fiber to Purkinje cell synapse [GO:0150053]; clathrin-coated pit [GO:0005905]; clathrin-coated vesicle [GO:0030136]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; early endosome [GO:0005769]; endoplasmic reticulum membrane [GO:0005789]; endosome membrane [GO:0010008]; Golgi apparatus [GO:0005794]; Golgi cisterna membrane [GO:0032580]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; membrane [GO:0016020]; nuclear membrane [GO:0031965]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; trans-Golgi network transport vesicle [GO:0030140]
P09486	reviewed	SPRC_HUMAN	SPARC ON	Homo sapiens (Human)	303	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane {ECO:0000269|PubMed:2306517, ECO:0000269|PubMed:3400777, ECO:0000269|PubMed:7495300, ECO:0000269|PubMed:9457905}. Note=In or around the basement membrane.																																					basement membrane [GO:0005604]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; endocytic vesicle lumen [GO:0071682]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231]; nuclear matrix [GO:0016363]; plasma membrane [GO:0005886]; platelet alpha granule [GO:0031091]; platelet alpha granule lumen [GO:0031093]; platelet alpha granule membrane [GO:0031092]
A0A140VJV6	unreviewed	A0A140VJV6_HUMAN		Homo sapiens (Human)	195			"TRANSMEM 141..164; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""																																			membrane [GO:0016020]
B4E000	unreviewed	B4E000_HUMAN		Homo sapiens (Human)	194	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.		"TRANSMEM 47..70; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 77..96; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 102..124; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 136..159; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 165..183; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""																																			membrane [GO:0016020]
A0A024RBE9	unreviewed	A0A024RBE9_HUMAN	SYT1 hCG_2016754	Homo sapiens (Human)	422	SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, chromaffin granule membrane {ECO:0000256|ARBA:ARBA00004349}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004349}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000256|ARBA:ARBA00004254, ECO:0000256|RuleBase:RU367154}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004254, ECO:0000256|RuleBase:RU367154}. Membrane {ECO:0000256|ARBA:ARBA00004167}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004167}.		"TRANSMEM 59..80; /note=""Helical""; /evidence=""ECO:0000256|RuleBase:RU367154"""																																			axon [GO:0030424]; chromaffin granule membrane [GO:0042584]; dense core granule [GO:0031045]; excitatory synapse [GO:0060076]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; neuron projection terminus [GO:0044306]; presynaptic membrane [GO:0042734]; synaptic vesicle membrane [GO:0030672]
Q9Y6A5	reviewed	TACC3_HUMAN	TACC3 ERIC1	Homo sapiens (Human)	838	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:17545617}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:17545617, ECO:0000269|PubMed:21297582, ECO:0000269|PubMed:23918938}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250|UniProtKB:Q9PTG8}. Note=In complex with CKAP5 localized to microtubule plus-ends in mitosis and interphase. In complex with CKAP5 and clathrin localized to inter-microtubule bridges in mitotic spindles. {ECO:0000269|PubMed:25596274}.																																					centriolar satellite [GO:0034451]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; mitotic spindle [GO:0072686]; spindle pole [GO:0000922]
A8K899	unreviewed	A8K899_HUMAN		Homo sapiens (Human)	432	SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123}.																																					nucleus [GO:0005634]
Q13428	reviewed	TCOF_HUMAN	TCOF1	Homo sapiens (Human)	1488	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12777385}.																																					cytosol [GO:0005829]; fibrillar center [GO:0001650]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]
P01137	reviewed	TGFB1_HUMAN	TGFB1 TGFB	Homo sapiens (Human)	390	SUBCELLULAR LOCATION: [Latency-associated peptide]: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:17827158}.; SUBCELLULAR LOCATION: [Transforming growth factor beta-1]: Secreted {ECO:0000269|PubMed:17827158, ECO:0000269|PubMed:29483653}.																																					blood microparticle [GO:0072562]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi lumen [GO:0005796]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; platelet alpha granule lumen [GO:0031093]; transforming growth factor beta complex [GO:0099126]; transforming growth factor beta ligand-receptor complex [GO:0070021]
P21980	reviewed	TGM2_HUMAN	TGM2	Homo sapiens (Human)	687	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:24349085, ECO:0000269|PubMed:29618516, ECO:0000269|PubMed:9575137}. Nucleus {ECO:0000269|PubMed:29618516, ECO:0000269|PubMed:9575137}. Chromosome {ECO:0000269|PubMed:9575137}. Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:12506096, ECO:0000269|PubMed:1683874}. Cell membrane {ECO:0000250|UniProtKB:Q9WVJ6}. Mitochondrion {ECO:0000269|PubMed:24349085}. Note=Mainly localizes to the cytosol (PubMed:9575137). Present at much lower level in the nucleus and chromatin (PubMed:9575137). Also secreted via a non-classical secretion pathway to the extracellular matrix (PubMed:27270573). {ECO:0000269|PubMed:9575137, ECO:0000303|PubMed:27270573}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm, perinuclear region {ECO:0000269|PubMed:17116873}.																																					chromatin [GO:0000785]; collagen-containing extracellular matrix [GO:0062023]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
P35625	reviewed	TIMP3_HUMAN	TIMP3	Homo sapiens (Human)	211	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.																																					basement membrane [GO:0005604]; collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; nucleus [GO:0005634]; platelet dense granule lumen [GO:0031089]
Q2QBA2	unreviewed	Q2QBA2_HUMAN	TNFSF13	Homo sapiens (Human)	223			"TRANSMEM 29..50; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius"""																																			extracellular space [GO:0005615]; membrane [GO:0016020]
A0A087X0H8	unreviewed	A0A087X0H8_HUMAN	TSC22D1	Homo sapiens (Human)	86																																						
P10599	reviewed	THIO_HUMAN	TXN TRDX TRX TRX1	Homo sapiens (Human)	105	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11118054, ECO:0000269|PubMed:9108029}. Cytoplasm {ECO:0000269|PubMed:11118054, ECO:0000269|PubMed:9108029}. Secreted {ECO:0000269|PubMed:1332947}. Note=Translocates from the cytoplasm into the nucleus after phorbol 12-myristate 13-acetate induction (PMA) (PubMed:9108029). Predominantly in the cytoplasm in non irradiated cells (PubMed:11118054). Radiation induces translocation of TRX from the cytoplasm to the nucleus (PubMed:11118054). Secreted by a leaderless secretory pathway (PubMed:1332947). {ECO:0000269|PubMed:11118054, ECO:0000269|PubMed:1332947, ECO:0000269|PubMed:9108029}.																																					cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
