From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Subcellular location [CC]	Gene Ontology (cellular component)
B4DDI0	B4DDI0	unreviewed	B4DDI0_HUMAN	cDNA FLJ55951, highly similar to Homo sapiens nexilin (F actin binding protein) (NEXN), mRNA		Homo sapiens (Human)	388		plasma membrane [GO:0005886]
Q13287	Q13287	reviewed	NMI_HUMAN	N-myc-interactor (Nmi) (N-myc and STAT interactor)	NMI	Homo sapiens (Human)	307	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10779520, ECO:0000269|PubMed:10950963, ECO:0000269|PubMed:29377960, ECO:0000269|PubMed:9781816}. Nucleus {ECO:0000269|PubMed:10950963, ECO:0000269|PubMed:9781816}. Secreted {ECO:0000269|PubMed:29038465}. Note=Cytoplasmic NMI localizes in punctate granular structures (PubMed:9781816, PubMed:10950963). Nuclear localization increased following IFN-alpha treatment (PubMed:9781816, PubMed:10950963). Extracelullar following secretion by macrophage (PubMed:29038465). {ECO:0000269|PubMed:10950963, ECO:0000269|PubMed:29038465, ECO:0000269|PubMed:9781816}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
A0A024R6C0	A0A024R6C0	unreviewed	A0A024R6C0_HUMAN	NPC intracellular cholesterol transporter 2 (Epididymal secretory protein E1)	NPC2 hCG_21712	Homo sapiens (Human)	151	SUBCELLULAR LOCATION: Secreted {ECO:0000256|ARBA:ARBA00004613}.	extracellular region [GO:0005576]; lysosome [GO:0005764]
Q8TCD5	Q8TCD5	reviewed	NT5C_HUMAN	5'(3')-deoxyribonucleotidase, cytosolic type (EC 3.1.3.-) (Cytosolic 5',3'-pyrimidine nucleotidase) (Deoxy-5'-nucleotidase 1) (dNT-1)	NT5C DNT1 UMPH2	Homo sapiens (Human)	201	SUBCELLULAR LOCATION: Cytoplasm.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]
Q9NV35	Q9NV35	reviewed	NUD15_HUMAN	Nucleotide triphosphate diphosphatase NUDT15 (EC 3.6.1.9) (MutT homolog 2) (MTH2) (Nucleoside diphosphate-linked moiety X motif 15) (Nudix motif 15) (Nucleoside diphosphate-linked to another moiety X hydrolase 15) (Nudix hydrolase 15)	NUDT15 MTH2	Homo sapiens (Human)	164		cytosol [GO:0005829]
Q9BTK6	Q9BTK6	reviewed	PAGR1_HUMAN	PAXIP1-associated glutamate-rich protein 1 (Glutamate-rich coactivator interacting with SRC1) (GAS) (PAXIP1-associated protein 1) (PTIP-associated protein 1)	PAGR1 C16orf53 PA1	Homo sapiens (Human)	254	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19039327}.	histone methyltransferase complex [GO:0035097]; MLL3/4 complex [GO:0044666]; nucleus [GO:0005634]
A0A024R3T8	A0A024R3T8	unreviewed	A0A024R3T8_HUMAN	Poly [ADP-ribose] polymerase (EC 2.4.2.30)	PARP1 hCG_14746	Homo sapiens (Human)	1014	SUBCELLULAR LOCATION: Chromosome {ECO:0000256|PIRNR:PIRNR000489}. Nucleus {ECO:0000256|ARBA:ARBA00004123, ECO:0000256|PIRNR:PIRNR000489}.	chromosome [GO:0005694]; cytoplasm [GO:0005737]; nuclear body [GO:0016604]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]
P01127	P01127	reviewed	PDGFB_HUMAN	Platelet-derived growth factor subunit B (PDGF subunit B) (PDGF-2) (Platelet-derived growth factor B chain) (Platelet-derived growth factor beta polypeptide) (Proto-oncogene c-Sis) (Becaplermin)	PDGFB PDGF2 SIS	Homo sapiens (Human)	241	SUBCELLULAR LOCATION: Secreted. Note=Released by platelets upon wounding.	basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; endoplasmic reticulum lumen [GO:0005788]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi lumen [GO:0005796]; Golgi membrane [GO:0000139]; platelet alpha granule lumen [GO:0031093]; platelet-derived growth factor complex [GO:1990265]
D9IAI1	D9IAI1	unreviewed	D9IAI1_HUMAN	Epididymis secretory protein Li 34 (Phosphatidylethanolamine binding protein 1, isoform CRA_a) (Phosphatidylethanolamine-binding protein 1)	PEBP1 HEL-S-34 hCG_2016249	Homo sapiens (Human)	187		
B4E2U0	B4E2U0	unreviewed	B4E2U0_HUMAN	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)		Homo sapiens (Human)	461		
P06401	P06401	reviewed	PRGR_HUMAN	Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3)	PGR NR3C3	Homo sapiens (Human)	933	SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Note=Nucleoplasmic shuttling is both hormone- and cell cycle-dependent. On hormone stimulation, retained in the cytoplasm in the G(1) and G(2)/M phases.; SUBCELLULAR LOCATION: [Isoform A]: Nucleus. Cytoplasm. Note=Mainly nuclear.; SUBCELLULAR LOCATION: [Isoform 4]: Mitochondrion outer membrane {ECO:0000269|PubMed:23518922}.	chromatin [GO:0000785]; cytosol [GO:0005829]; mitochondrial outer membrane [GO:0005741]; nucleoplasm [GO:0005654]
Q8NCC3	Q8NCC3	reviewed	PAG15_HUMAN	Phospholipase A2 group XV (1-O-acylceramide synthase) (ACS) (LCAT-like lysophospholipase) (LLPL) (EC 3.1.1.5) (Lysophospholipase 3) (Lysosomal phospholipase A and acyltransferase) (EC 2.3.1.-, EC 3.1.1.32, EC 3.1.1.4) (Lysosomal phospholipase A2) (LPLA2)	PLA2G15 LYPLA3 UNQ341/PRO540	Homo sapiens (Human)	412	SUBCELLULAR LOCATION: Lysosome {ECO:0000269|PubMed:23958596}. Secreted {ECO:0000269|PubMed:10092508, ECO:0000269|PubMed:20410020}. Membrane {ECO:0000269|PubMed:25727495}; Peripheral membrane protein {ECO:0000269|PubMed:25727495}.	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231]; lysosome [GO:0005764]; membrane [GO:0016020]; nucleoplasm [GO:0005654]
P00750	P00750	reviewed	TPA_HUMAN	Tissue-type plasminogen activator (t-PA) (t-plasminogen activator) (tPA) (EC 3.4.21.68) (Alteplase) (Reteplase) [Cleaved into: Tissue-type plasminogen activator chain A; Tissue-type plasminogen activator chain B]	PLAT	Homo sapiens (Human)	562	SUBCELLULAR LOCATION: Secreted, extracellular space.	apical part of cell [GO:0045177]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; glutamatergic synapse [GO:0098978]; neuronal dense core vesicle [GO:0098992]; perisynaptic space [GO:0099544]; postsynapse [GO:0098794]; Schaffer collateral - CA1 synapse [GO:0098685]; serine protease inhibitor complex [GO:0097180]
Q53GL0	Q53GL0	reviewed	PKHO1_HUMAN	Pleckstrin homology domain-containing family O member 1 (PH domain-containing family O member 1) (C-Jun-binding protein) (JBP) (Casein kinase 2-interacting protein 1) (CK2-interacting protein 1) (CKIP-1) (Osteoclast maturation-associated gene 120 protein)	PLEKHO1 CKIP1 OC120 HQ0024c	Homo sapiens (Human)	409	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10799509, ECO:0000269|PubMed:11827170, ECO:0000269|PubMed:14729969, ECO:0000269|PubMed:15254037, ECO:0000269|PubMed:16325375}; Peripheral membrane protein {ECO:0000305|PubMed:14729969}. Nucleus {ECO:0000269|PubMed:10799509, ECO:0000269|PubMed:11827170, ECO:0000269|PubMed:15706351}. Cytoplasm {ECO:0000269|PubMed:15706351}. Note=Predominantly localized to the plasma membrane through the binding to phosphatidylinositol 3-phosphate (PubMed:14729969). In C2C12 cells, with the absence of growth factor, it is found in the nucleus (PubMed:14729969). It rapidly translocates to the plasma membrane after insulin stimulation (PubMed:14729969). In response to TNF, it translocates from the plasma membrane to the cytoplasm and then to the nucleus accompanied by cleavage by caspase-3 (PubMed:15706351). However, the subcellular location is highly dependent of the cell type, and this explains why it is found exclusively at the plasma membrane, in some type of cells (Probable). {ECO:0000269|PubMed:14729969, ECO:0000269|PubMed:15706351, ECO:0000305}.	cytoplasm [GO:0005737]; muscle cell projection membrane [GO:0036195]; nucleus [GO:0005634]; ruffle membrane [GO:0032587]
Q8TCS8	Q8TCS8	reviewed	PNPT1_HUMAN	Polyribonucleotide nucleotidyltransferase 1, mitochondrial (EC 2.7.7.8) (3'-5' RNA exonuclease OLD35) (PNPase old-35) (Polynucleotide phosphorylase 1) (PNPase 1) (Polynucleotide phosphorylase-like protein)	PNPT1 PNPASE	Homo sapiens (Human)	783	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16055741}. Mitochondrion matrix {ECO:0000269|PubMed:12798676, ECO:0000269|PubMed:16055741}. Mitochondrion intermembrane space {ECO:0000269|PubMed:16966381}; Peripheral membrane protein {ECO:0000269|PubMed:16966381}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; mitochondrial degradosome [GO:0045025]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; polysomal ribosome [GO:0042788]
P36873	P36873	reviewed	PP1G_HUMAN	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit (PP-1G) (EC 3.1.3.16) (Protein phosphatase 1C catalytic subunit)	PPP1CC	Homo sapiens (Human)	323	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11739654}. Nucleus. Nucleus, nucleolus {ECO:0000269|PubMed:11739654, ECO:0000269|PubMed:20926688, ECO:0000269|PubMed:23789093}. Nucleus, nucleoplasm {ECO:0000269|PubMed:11739654}. Nucleus speckle {ECO:0000269|PubMed:11739654}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:12529430}. Cleavage furrow {ECO:0000269|PubMed:12529430}. Midbody {ECO:0000269|PubMed:12529430}. Mitochondrion {ECO:0000269|PubMed:17936702}. Cytoplasm, cytoskeleton, microtubule organizing center {ECO:0000269|PubMed:23789093}. Note=Colocalizes with SPZ1 in the nucleus (By similarity). Colocalizes with URI1 at mitochondrion (PubMed:17936702). Rapidly exchanges between the nucleolar, nucleoplasmic and cytoplasmic compartments (PubMed:11739654). Highly mobile in cells and can be relocalized through interaction with targeting subunits (PubMed:17965019). In the presence of PPP1R8 relocalizes from the nucleolus to nuclear speckles (PubMed:11739654). Shows a dynamic targeting to specific sites throughout the cell cycle (PubMed:12529430). Highly concentrated in nucleoli of interphase cells and localizes at kinetochores early in mitosis (PubMed:12529430). Relocalization to chromosome-containing regions occurs at the transition from early to late anaphase (PubMed:12529430). Also accumulates at the cleavage furrow and midbody by telophase (PubMed:12529430). Colocalizes with DYNLT4 in the microtubule organizing center (MTOC)(PubMed:23789093). {ECO:0000250|UniProtKB:P63087, ECO:0000269|PubMed:11739654, ECO:0000269|PubMed:12529430, ECO:0000269|PubMed:17936702, ECO:0000269|PubMed:17965019, ECO:0000269|PubMed:23789093}.	cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; kinetochore [GO:0000776]; midbody [GO:0030496]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleus [GO:0005634]; presynapse [GO:0098793]; protein phosphatase type 1 complex [GO:0000164]; protein-containing complex [GO:0032991]; PTW/PP1 phosphatase complex [GO:0072357]
Q96A00	Q96A00	reviewed	PP14A_HUMAN	Protein phosphatase 1 regulatory subunit 14A (17 kDa PKC-potentiated inhibitory protein of PP1) (Protein kinase C-potentiated inhibitor protein of 17 kDa) (CPI-17)	PPP1R14A CPI17 PPP1INL	Homo sapiens (Human)	147	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.	cytosol [GO:0005829]
Q9NRG1	Q9NRG1	reviewed	PRDC1_HUMAN	Phosphoribosyltransferase domain-containing protein 1	PRTFDC1 HHGP	Homo sapiens (Human)	225		cytosol [GO:0005829]
Q06323	Q06323	reviewed	PSME1_HUMAN	Proteasome activator complex subunit 1 (11S regulator complex subunit alpha) (REG-alpha) (Activator of multicatalytic protease subunit 1) (Interferon gamma up-regulated I-5111 protein) (IGUP I-5111) (Proteasome activator 28 subunit alpha) (PA28a) (PA28alpha)	PSME1 IFI5111	Homo sapiens (Human)	249		cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; proteasome activator complex [GO:0008537]; proteasome complex [GO:0000502]
A0A024R806	A0A024R806	unreviewed	A0A024R806_HUMAN	Proteasome assembly chaperone 3	MGC10911 hCG_19463	Homo sapiens (Human)	122		protein-containing complex [GO:0032991]
Q6PGN9	Q6PGN9	reviewed	PSRC1_HUMAN	Proline/serine-rich coiled-coil protein 1	PSRC1 DDA3 FP3214	Homo sapiens (Human)	363	SUBCELLULAR LOCATION: Cytoplasm. Cytoplasm, cytoskeleton, spindle. Cytoplasm, cytoskeleton, spindle pole. Note=Detected at the mitotic spindle and spindle poles. Diffusely distributed throughout the cell during interphase.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; nucleoplasm [GO:0005654]; spindle [GO:0005819]; spindle pole [GO:0000922]
A0A0S2Z4R2	A0A0S2Z4R2	unreviewed	A0A0S2Z4R2_HUMAN	Proline-serine-threonine phosphatase interacting protein 2 isoform 2 (Proline-serine-threonine phosphatase interacting protein 2, isoform CRA_b)	PSTPIP2 hCG_24029	Homo sapiens (Human)	334		cytoskeleton [GO:0005856]; cytosol [GO:0005829]; membrane [GO:0016020]
F6KD01	F6KD01	unreviewed	F6KD01_HUMAN	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Phosphatase and tensin homolog)	PTEN	Homo sapiens (Human)	403	SUBCELLULAR LOCATION: Cell projection, dendritic spine {ECO:0000256|ARBA:ARBA00004552}. Cytoplasm {ECO:0000256|PIRNR:PIRNR038025}. Nucleus {ECO:0000256|PIRNR:PIRNR038025}. Nucleus, PML body {ECO:0000256|PIRNR:PIRNR038025}. Postsynaptic density {ECO:0000256|ARBA:ARBA00034105}.	cytosol [GO:0005829]; myelin sheath adaxonal region [GO:0035749]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; PML body [GO:0016605]; Schmidt-Lanterman incisure [GO:0043220]; synapse [GO:0045202]
Q15262	Q15262	reviewed	PTPRK_HUMAN	Receptor-type tyrosine-protein phosphatase kappa (Protein-tyrosine phosphatase kappa) (R-PTP-kappa) (EC 3.1.3.48)	PTPRK PTPK	Homo sapiens (Human)	1439	SUBCELLULAR LOCATION: Cell junction, adherens junction. Cell membrane; Single-pass type I membrane protein.	adherens junction [GO:0005912]; cell junction [GO:0030054]; cell surface [GO:0009986]; cell-cell junction [GO:0005911]; intracellular membrane-bounded organelle [GO:0043231]; leading edge membrane [GO:0031256]; membrane [GO:0016020]; plasma membrane [GO:0005886]
P28827	P28827	reviewed	PTPRM_HUMAN	Receptor-type tyrosine-protein phosphatase mu (Protein-tyrosine phosphatase mu) (R-PTP-mu) (EC 3.1.3.48)	PTPRM PTPRL1	Homo sapiens (Human)	1452	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10753936}; Single-pass type I membrane protein. Note=Localizes in regions of cell-cell contact. {ECO:0000269|PubMed:10753936}.	adherens junction [GO:0005912]; cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; intracellular non-membrane-bounded organelle [GO:0043232]; lamellipodium [GO:0030027]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
P26022	P26022	reviewed	PTX3_HUMAN	Pentraxin-related protein PTX3 (Pentaxin-related protein PTX3) (Tumor necrosis factor alpha-induced protein 5) (TNF alpha-induced protein 5) (Tumor necrosis factor-inducible gene 14 protein) (TSG-14)	PTX3 TNFAIP5 TSG14	Homo sapiens (Human)	381	SUBCELLULAR LOCATION: Secreted.	extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724]
F6WQW2	F6WQW2	unreviewed	F6WQW2_HUMAN	Ran-specific GTPase-activating protein	RANBP1	Homo sapiens (Human)	278		centrosome [GO:0005813]; cytosol [GO:0005829]
P50120	P50120	reviewed	RET2_HUMAN	Retinol-binding protein 2 (Cellular retinol-binding protein II) (CRBP-II)	RBP2 CRBP2	Homo sapiens (Human)	134	SUBCELLULAR LOCATION: Cytoplasm.	cytosol [GO:0005829]; nucleus [GO:0005634]
Q6ZRY4	Q6ZRY4	reviewed	RBPS2_HUMAN	RNA-binding protein with multiple splicing 2 (RNA binding protein, mRNA processing factor 2)	RBPMS2	Homo sapiens (Human)	209	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:25064856}.	cytoplasm [GO:0005737]
O75792	O75792	reviewed	RNH2A_HUMAN	Ribonuclease H2 subunit A (RNase H2 subunit A) (EC 3.1.26.4) (Aicardi-Goutieres syndrome 4 protein) (AGS4) (RNase H(35)) (Ribonuclease HI large subunit) (RNase HI large subunit) (Ribonuclease HI subunit A)	RNASEH2A RNASEHI RNHIA	Homo sapiens (Human)	299	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; ribonuclease H2 complex [GO:0032299]
A0A024QZF2	A0A024QZF2	unreviewed	A0A024QZF2_HUMAN	Related RAS viral (R-ras) oncogene homolog, isoform CRA_a	RRAS hCG_21124	Homo sapiens (Human)	218		membrane [GO:0016020]
P31350	P31350	reviewed	RIR2_HUMAN	Ribonucleoside-diphosphate reductase subunit M2 (EC 1.17.4.1) (Ribonucleotide reductase small chain) (Ribonucleotide reductase small subunit)	RRM2 RR2	Homo sapiens (Human)	389	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22632967}. Nucleus {ECO:0000269|PubMed:22632967}. Note=Localized to the cytoplasm in S phase cells. May localize to the nucleus in G2 phase cells. {ECO:0000269|PubMed:22632967}.	cytosol [GO:0005829]; nucleus [GO:0005634]; ribonucleoside-diphosphate reductase complex [GO:0005971]
Q7LG56	Q7LG56	reviewed	RIR2B_HUMAN	Ribonucleoside-diphosphate reductase subunit M2 B (EC 1.17.4.1) (TP53-inducible ribonucleotide reductase M2 B) (p53-inducible ribonucleotide reductase small subunit 2-like protein) (p53R2)	RRM2B P53R2	Homo sapiens (Human)	351	SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=Translocates from cytoplasm to nucleus in response to DNA damage.	cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; ribonucleoside-diphosphate reductase complex [GO:0005971]
Q8IVG5	Q8IVG5	reviewed	SAM9L_HUMAN	Sterile alpha motif domain-containing protein 9-like (SAM domain-containing protein 9-like)	SAMD9L C7orf6 DRIF2 KIAA2005 UEF	Homo sapiens (Human)	1584	SUBCELLULAR LOCATION: Early endosome {ECO:0000250|UniProtKB:Q69Z37}. Mitochondrion {ECO:0000269|PubMed:35310830}.	cytoplasm [GO:0005737]; early endosome [GO:0005769]; mitochondrion [GO:0005739]
A0A140VKF3	A0A140VKF3	unreviewed	A0A140VKF3_HUMAN	Testis tissue sperm-binding protein Li 70n		Homo sapiens (Human)	418		axon hillock [GO:0043203]; basement membrane [GO:0005604]; extracellular space [GO:0005615]; perinuclear region of cytoplasm [GO:0048471]
P51688	P51688	reviewed	SPHM_HUMAN	N-sulphoglucosamine sulphohydrolase (EC 3.10.1.1) (Sulfoglucosamine sulfamidase) (Sulphamidase)	SGSH HSS	Homo sapiens (Human)	502	SUBCELLULAR LOCATION: Lysosome {ECO:0000269|PubMed:15146460}.	extracellular exosome [GO:0070062]; lysosomal lumen [GO:0043202]; lysosome [GO:0005764]
Q15796	Q15796	reviewed	SMAD2_HUMAN	Mothers against decapentaplegic homolog 2 (MAD homolog 2) (Mothers against DPP homolog 2) (JV18-1) (Mad-related protein 2) (hMAD-2) (SMAD family member 2) (SMAD 2) (Smad2) (hSMAD2)	SMAD2 MADH2 MADR2	Homo sapiens (Human)	467	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16751101, ECO:0000269|PubMed:19289081, ECO:0000269|PubMed:21145499, ECO:0000269|PubMed:9865696}. Nucleus {ECO:0000269|PubMed:16751101, ECO:0000269|PubMed:19289081, ECO:0000269|PubMed:21145499, ECO:0000269|PubMed:21599657, ECO:0000269|PubMed:22781750, ECO:0000269|PubMed:9865696}. Note=Cytoplasmic and nuclear in the absence of TGF-beta. On TGF-beta stimulation, migrates to the nucleus when complexed with SMAD4 (PubMed:9865696, PubMed:21145499). On dephosphorylation by phosphatase PPM1A, released from the SMAD2/SMAD4 complex, and exported out of the nucleus by interaction with RANBP1 (PubMed:16751101, PubMed:19289081). Localized mainly to the nucleus in the early stages of embryo development with expression becoming evident in the cytoplasm at the blastocyst and epiblast stages (By similarity). {ECO:0000250|UniProtKB:Q62432, ECO:0000269|PubMed:16751101, ECO:0000269|PubMed:19289081, ECO:0000269|PubMed:21145499, ECO:0000269|PubMed:9865696}.	activin responsive factor complex [GO:0032444]; chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; heteromeric SMAD protein complex [GO:0071144]; homomeric SMAD protein complex [GO:0071142]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; SMAD protein complex [GO:0071141]; transcription regulator complex [GO:0005667]
P84022	P84022	reviewed	SMAD3_HUMAN	Mothers against decapentaplegic homolog 3 (MAD homolog 3) (Mad3) (Mothers against DPP homolog 3) (hMAD-3) (JV15-2) (SMAD family member 3) (SMAD 3) (Smad3) (hSMAD3)	SMAD3 MADH3	Homo sapiens (Human)	425	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15799969, ECO:0000269|PubMed:16156666, ECO:0000269|PubMed:16751101, ECO:0000269|PubMed:17327236, ECO:0000269|PubMed:19218245, ECO:0000269|PubMed:19289081, ECO:0000269|PubMed:21145499, ECO:0000269|PubMed:22781750}. Nucleus {ECO:0000269|PubMed:15601644, ECO:0000269|PubMed:15799969, ECO:0000269|PubMed:16156666, ECO:0000269|PubMed:16751101, ECO:0000269|PubMed:19218245, ECO:0000269|PubMed:19289081, ECO:0000269|PubMed:21145499, ECO:0000269|PubMed:22781750}. Note=Cytoplasmic and nuclear in the absence of TGF-beta. On TGF-beta stimulation, migrates to the nucleus when complexed with SMAD4 (PubMed:15799969, PubMed:21145499). Through the action of the phosphatase PPM1A, released from the SMAD2/SMAD4 complex, and exported out of the nucleus by interaction with RANBP1 (PubMed:16751101, PubMed:19289081). Co-localizes with LEMD3 at the nucleus inner membrane (PubMed:15601644). MAPK-mediated phosphorylation appears to have no effect on nuclear import (PubMed:19218245). PDPK1 prevents its nuclear translocation in response to TGF-beta (PubMed:17327236). Localized mainly to the nucleus in the early stages of embryo development with expression becoming evident in the cytoplasm of the inner cell mass at the blastocyst stage (By similarity). {ECO:0000250|UniProtKB:Q8BUN5, ECO:0000269|PubMed:15601644, ECO:0000269|PubMed:15799969, ECO:0000269|PubMed:16751101, ECO:0000269|PubMed:17327236, ECO:0000269|PubMed:19218245, ECO:0000269|PubMed:19289081, ECO:0000269|PubMed:21145499}.	chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; heteromeric SMAD protein complex [GO:0071144]; nuclear inner membrane [GO:0005637]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; SMAD protein complex [GO:0071141]; transcription regulator complex [GO:0005667]
B4DSC8	B4DSC8	unreviewed	B4DSC8_HUMAN	cDNA FLJ53181, highly similar to Probable global transcription activator SNF2L2		Homo sapiens (Human)	715		SWI/SNF complex [GO:0016514]
Q6P5V6	Q6P5V6	unreviewed	Q6P5V6_HUMAN	SNX5 protein	SNX5	Homo sapiens (Human)	412		cytoplasmic vesicle [GO:0031410]
Q99523	Q99523	reviewed	SORT_HUMAN	Sortilin (100 kDa NT receptor) (Glycoprotein 95) (Gp95) (Neurotensin receptor 3) (NT3) (NTR3)	SORT1	Homo sapiens (Human)	831	SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000269|PubMed:16787399, ECO:0000269|PubMed:18817523}; Single-pass type I membrane protein {ECO:0000305}. Endosome membrane {ECO:0000269|PubMed:18817523}; Single-pass type I membrane protein {ECO:0000305}. Endoplasmic reticulum membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Nucleus membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Cell membrane; Single-pass type I membrane protein; Extracellular side. Lysosome membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Note=Localized to membranes of the endoplasmic reticulum, endosomes, Golgi stack, lysosomes and nucleus. A small fraction of the protein is also localized to the plasma membrane. May also be found in SLC2A4/GLUT4 storage vesicles (GSVs) in adipocytes. Localization to the plasma membrane in adipocytes may be enhanced by insulin.	cell surface [GO:0009986]; cerebellar climbing fiber to Purkinje cell synapse [GO:0150053]; clathrin-coated pit [GO:0005905]; clathrin-coated vesicle [GO:0030136]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; early endosome [GO:0005769]; endoplasmic reticulum membrane [GO:0005789]; endosome membrane [GO:0010008]; Golgi apparatus [GO:0005794]; Golgi cisterna membrane [GO:0032580]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; membrane [GO:0016020]; nuclear membrane [GO:0031965]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; trans-Golgi network transport vesicle [GO:0030140]
P09486	P09486	reviewed	SPRC_HUMAN	SPARC (Basement-membrane protein 40) (BM-40) (Osteonectin) (ON) (Secreted protein acidic and rich in cysteine)	SPARC ON	Homo sapiens (Human)	303	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane {ECO:0000269|PubMed:2306517, ECO:0000269|PubMed:3400777, ECO:0000269|PubMed:7495300, ECO:0000269|PubMed:9457905}. Note=In or around the basement membrane.	basement membrane [GO:0005604]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; endocytic vesicle lumen [GO:0071682]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231]; nuclear matrix [GO:0016363]; plasma membrane [GO:0005886]; platelet alpha granule [GO:0031091]; platelet alpha granule lumen [GO:0031093]; platelet alpha granule membrane [GO:0031092]
A0A140VJV6	A0A140VJV6	unreviewed	A0A140VJV6_HUMAN	Testicular tissue protein Li 183		Homo sapiens (Human)	195		membrane [GO:0016020]
B4E000	B4E000	unreviewed	B4E000_HUMAN	cDNA FLJ57689, highly similar to Synaptic vesicle glycoprotein 2A		Homo sapiens (Human)	194	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	membrane [GO:0016020]
