"","Protein","logFC","P.Value","adj.P.Val","UniProt.ID","Protein.name","Gene.name","Explore.384.panel","Significance","LFC"
"347","DNAJC9",0.941961352021455,5.7485395858591e-10,4.49277572445619e-09,"Q9H0C8","Integrin-linked kinase-associated serine/threonine phosphatase 2C","ILKAP","Neurology",0.000722918264086456,0.422859247149449
"348","DNM1",1.49317674912432,3.23468100304977e-13,3.59504660529067e-12,"P29218","Inositol monophosphatase 1","IMPA1","Neurology",2.6080848681452e-08,0.387592620857401
"349","DNM3",0.419807885292063,4.82415226534058e-08,3.11968961760852e-07,"Q9P2X3","Protein IMPACT","IMPACT","Neurology_II",4.12587773734235e-09,0.69477397645314
"350","DNMBP",0.315431973701764,8.21465426328075e-05,0.000355724954245476,"Q17R60","Interphotoreceptor matrix proteoglycan 1","IMPG1","Neurology_II",0,0
"351","DNPEP",0.435844693719872,0.000168851223359126,0.000691249476020625,"Q9UK53","Inhibitor of growth protein 1","ING1","Neurology",0,0
"352","DNPH1",0.706690055176504,2.41001305313752e-11,2.1346873194912e-10,"P55103","Inhibin beta C chain","INHBC","Neurology",0.0314632059215935,0.227756563056751
"353","DOK1",1.19767898086942,8.80514120290476e-15,1.27413008594508e-13,"Q15735","Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A","INPP5J","Neurology_II",0.0144386441721936,0.201114322571188
"354","DOK2",1.85661818291784,1.13265160478005e-21,1.74249507409057e-19,"P51460","Insulin-like 3","INSL3","Neurology_II",0,0
"355","DPP7",0.261687660345281,0.0285777827778838,0.0694149190775776,"Q8WWN9","Interactor protein for cytohesin exchange factors 1","IPCEF1","Neurology",1.12353064351195e-13,1.07035841870746
"356","DPY30",0.806192046100847,9.16935715935849e-11,7.90620382796604e-10,"Q6UXK2","Immunoglobulin superfamily containing leucine-rich repeat protein 2","ISLR2","Neurology",0,0
"357","DRG2",0.567398637795147,4.37564087812276e-13,4.77238742043016e-12,"P08648","Integrin alpha-5","ITGA5","Neurology",0.000212913363389318,0.213441494034867
"358","DSCAM",0.18687804395518,0.00887837010306252,0.0252938360733448,"P11215","Integrin alpha-M","ITGAM","Neurology",0,0
"359","DTD1",1.98558741823278,1.92271827107112e-19,9.0646863005498e-18,"Q8IWB1","Inositol 1,4,5-trisphosphate receptor-interacting protein","ITPRIP","Neurology_II",0,0
"360","DTNB",0.305640304326582,0.000392203334565509,0.00150843466701971,"P26440","Isovaleryl-CoA dehydrogenase, mitochondrial","IVD","Neurology",0,0
"361","DTX3",0.121917196618311,0.0348482330739195,0.0824788544737383,"P57087","Junctional adhesion molecule B","JAM2","Neurology",0,0
"362","DTYMK",1.01435709829303,1.05221188379376e-14,1.50765457663194e-13,"Q03721","Potassium voltage-gated channel subfamily C member 4","KCNC4","Neurology_II",0,0
"363","DUSP3",0.899512896785319,0.000382826849604045,0.00147820724094138,"Q12809","Potassium voltage-gated channel subfamily H member 2","KCNH2","Neurology_II",0,0
"364","DUT",1.17342692713569,2.33594590158937e-17,5.88618092271182e-16,"Q6PIL6","Kv channel-interacting protein 4","KCNIP4","Neurology",0.057291940737744,-0.361220706696579
"365","DXO",0.778450257074804,6.43388880954409e-16,1.16088006112947e-14,"Q9NXV2","BTB/POZ domain-containing protein KCTD5","KCTD5","Neurology_II",9.63771431941131e-05,0.416436345286788
"366","DYNLT1",0.292549357777464,0.000188676666311328,0.000769179770750367,"P23276","Kell blood group glycoprotein","KEL","Neurology",0,0
"367","EBAG9",1.22729649155351,1.23365551001155e-22,2.77382696597212e-20,"Q5VV43","Dyslexia-associated protein KIAA0319","KIAA0319","Neurology_II",0,0
"368","ECHDC3",0.600595328054693,0.000596540341658623,0.00223263433888368,"Q96Q89","Kinesin-like protein KIF20B","KIF20B","Neurology_II",0,0
"369","ECHS1",1.06601034199901,3.18445257055408e-07,1.86536169613819e-06,"Q96J84","Kin of IRRE-like protein 1","KIRREL1","Neurology_II",0,0
"370","ECI2",0.489118920800718,9.57666152662888e-05,0.000408650826895419,"Q6UWL6","Kin of IRRE-like protein 2","KIRREL2","Neurology",0,0
"371","EDAR",0.312672534664398,8.70571784789024e-05,0.000374217842196811,"Q86Z14","Beta-klotho","KLB","Neurology",0,0
"372","EDDM3B",0.328838886639345,0.016337972168774,0.0432963668624898,"O43474","Krueppel-like factor 4","KLF4","Neurology_II",0.0498572169536226,0.238277362067562
"373","EDF1",0.59422014493373,3.18184957612423e-05,0.000144643021944185,"O60662","Kelch-like protein 41","KLHL41","Neurology_II",0,0
"374","EDIL3",-0.373234415238534,5.09447763005507e-06,2.58976662828713e-05,"P26715","NKG2-A/NKG2-B type II integral membrane protein","KLRC1","Neurology_II",0,0
"375","EEF1D",0.878649100917728,2.37830051797364e-09,1.73794310350924e-08,"P26718","NKG2-D type II integral membrane protein","KLRK1","Neurology_II",0.0752459240027539,0.163723649358984
"376","EFCAB2",0.351549810937029,3.16303706332061e-08,2.09649826215105e-07,"P02533","Keratin, type I cytoskeletal 14","KRT14","Neurology",0,0
"377","EFNA4",0.11979921457839,0.0194618831830596,0.0498572169536226,"P13647","Keratin, type II cytoskeletal 5","KRT5","Neurology",0,0
"378","EGF",1.24546947293126,1.66275107927129e-16,3.37515375327082e-15,"P05787","Keratin, type II cytoskeletal 8","KRT8","Neurology_II",0.0188923425133232,0.410542219549542
"379","EGLN1",0.363505122399765,8.41998938856569e-05,0.000363003377327102,"Q6ISS4","Leukocyte-associated immunoglobulin-like receptor 2","LAIR2","Neurology",0,0
"380","EHBP1",0.682654291560224,1.36856323762646e-12,1.37467709401448e-11,"P13473","Lysosome-associated membrane glycoprotein 2","LAMP2","Neurology",0,0
"381","EHD3",1.52669169309556,1.70813838245757e-15,2.77382693995749e-14,"Q6UX15","Layilin","LAYN","Neurology",0,0
"382","EIF1AX",0.970557700813754,4.3596117878588e-12,4.13738482334782e-11,"Q14739","Delta(14)-sterol reductase LBR","LBR","Neurology",9.55552924143356e-11,0.811417657932131
"383","EIF2AK2",0.894265728361319,2.83868641282635e-12,2.7590184333136e-11,"Q6UWW0","Lipocalin-15","LCN15","Neurology_II",0,0
"384","EIF2S2",0.350056853941728,1.05310287716314e-07,6.53549832260694e-07,"Q5SW96","Low density lipoprotein receptor adapter protein 1","LDLRAP1","Neurology_II",3.05158820296713e-08,0.839015149679963
"385","EIF4B",1.11280143747996,3.29076329393147e-14,4.25615093281491e-13,"Q5T871","Late cornified envelope-like proline-rich protein 1","LELP1","Neurology_II",0,0
"386","EIF4E",1.64704084530536,8.62211735539097e-22,1.40013605721154e-19,"Q8WVC0","RNA polymerase-associated protein LEO1","LEO1","Neurology_II",0.0238859640312612,0.19859955910204
"387","EIF4EBP1",0.653953510512109,2.64110470036949e-06,1.38848004301799e-05,"O95202","Mitochondrial proton/calcium exchanger protein","LETM1","Neurology_II",0.00306069219059253,0.357722454959646
"388","EIF4G1",1.68745636668075,1.94084970175909e-25,3.26263922131414e-22,"O00214","Galectin-8","LGALS8","Neurology",7.6000240736375e-12,0.609330347391766
"389","EIF4G3",0.504990353429759,3.9564399665171e-05,0.000178743029708338,"P15018","Leukemia inhibitory factor","LIF","Neurology",0.00588158232475162,0.451087090763617
"390","EIF5",0.492067273391037,2.12728061736924e-05,0.00010047080802928,"Q8N149","Leukocyte immunoglobulin-like receptor subfamily A member 2","LILRA2","Neurology",0,0
"391","ELAC1",1.22974261145302,8.93268294746312e-13,9.29189759979882e-12,"Q03252","Lamin-B2","LMNB2","Neurology_II",0,0
"392","ELOA",0.526171872494723,0.000225412002150754,0.000901339647450962,"P29536","Leiomodin-1","LMOD1","Neurology_II",0,0
"393","ELOB",0.196321674631619,0.00312832706411043,0.0102627385054936,"Q6P5Q4","Leiomodin-2","LMOD2","Neurology_II",0,0
"394","ENO1",1.10752778622145,2.45882236852482e-20,1.63344040527228e-18,"P22079","Lactoperoxidase","LPO","Neurology",0,0
"395","ENO2",0.849974631724851,1.87198452849102e-16,3.76993835468642e-15,"Q9ULH4","Leucine-rich repeat and fibronectin type-III domain-containing protein 2","LRFN2","Neurology_II",0,0
"396","ENPEP",0.175860237563181,0.0432211331814228,0.0992422406043197,"P98164","Low-density lipoprotein receptor-related protein 2","LRP2","Neurology_II",0.0624155157146811,0.202453303380345
"397","ENPP6",-0.1520878112817,0.0400025610613334,0.09316765167611,"Q9P2M1","LRP2-binding protein","LRP2BP","Neurology_II",0,0
"398","ENPP7",0.493361410176352,0.00295413564674819,0.00975699265022029,"P30533","Alpha-2-macroglobulin receptor-associated protein","LRPAP1","Neurology",0.00942231638230594,0.242429767609502
"399","ENSA",0.383249236125755,0.000244551185469297,0.000973873453851166,"Q5VT99","Leucine-rich repeat-containing protein 38","LRRC38","Neurology_II",0,0
"400","ENTR1",0.470584240146176,0.00165483383795878,0.00575158062824438,"Q9HBL6","Leucine-rich repeat and transmembrane domain-containing protein 1","LRTM1","Neurology_II",0,0
"401","EP300",0.280047792467603,0.000428462131528053,0.00164140866376998,"Q8N967","Leucine-rich repeat and transmembrane domain-containing protein 2","LRTM2","Neurology_II",0,0
"402","EPHA1",0.150278227806574,0.017638862283978,0.046116631892726,"Q9BS40","Latexin","LXN","Neurology",0.0029631755538504,0.478353949239425
"403","EPHA2",0.122283413144156,0.0261497942910916,0.064592037528838,"Q9Y6Y9","Lymphocyte antigen 96","LY96","Neurology",0,0
"404","EPHX2",0.274499977375498,0.0119973311123636,0.0328969970369971,"Q8N2G4","Ly6/PLAUR domain-containing protein 1","LYPD1","Neurology",0,0
"405","EPO",0.333622201600224,0.00445517118675471,0.0139426824185054,"O95372","Acyl-protein thioesterase 2","LYPLA2","Neurology_II",0,0
"406","ERBB2",0.162379903922403,0.00127513731280187,0.00452882911946521,"Q7Z3D4","LysM and putative peptidoglycan-binding domain-containing protein 3","LYSMD3","Neurology_II",0,0
"407","ERBB3",0.108792078211249,0.0111109428752787,0.0308719448901516,"Q9Y6D9","Mitotic spindle assembly checkpoint protein MAD1","MAD1L1","Neurology",0.00024426820659576,0.439070565762985
"408","ERBIN",1.16060701364879,1.00805785446983e-16,2.13518341204009e-15,"P20916","Myelin-associated glycoprotein","MAG","Neurology_II",0,0
"409","ERC2",0.329003625597587,0.031653825552648,0.0759016670142659,"Q9H492","Microtubule-associated proteins 1A/1B light chain 3A","MAP1LC3A","Neurology_II",0,0
"410","ERI1",0.182393316658293,0.0204322951207947,0.0521603481555308,"P11137","Microtubule-associated protein 2","MAP2","Neurology_II",0.00568023927644643,0.259759669619622
"411","ERMAP",0.247489924585632,0.00206830291668126,0.00705443340193619,"Q9Y4K4","Mitogen-activated protein kinase kinase kinase kinase 5","MAP4K5","Neurology",5.87158060729936e-17,1.17756047394653
"412","ERP29",1.57500144216562,2.52668011693132e-19,1.08610087967504e-17,"P10636","Microtubule-associated protein tau","MAPT","Neurology",0.0760657090283507,-0.390707085069495
"413","ERP44",0.251272730967563,2.12765754943977e-05,0.00010047080802928,"P48740","Mannan-binding lectin serine protease 1","MASP1","Neurology",0,0
"414","ESAM",0.211000582544705,0.000121278076671899,0.000504261476688424,"O15232","Matrilin-3","MATN3","Neurology",0,0
"415","ESYT2",0.685408511439394,1.0524940088474e-11,9.6440125011315e-11,"P61244","Protein max","MAX","Neurology",1.16750587955338e-11,1.39980539755306
"416","EVI5",0.482440973254915,1.4844137679463e-05,7.19559111725875e-05,"Q96PE7","Methylmalonyl-CoA epimerase, mitochondrial","MCEE","Neurology_II",0,0
"417","EZR",0.202853696599603,9.47609083380174e-05,0.000404950489871382,"Q8NFP4","MAM domain-containing glycosylphosphatidylinositol anchor protein 1","MDGA1","Neurology",0,0
"418","F11R",0.459374010519693,2.72883607059233e-14,3.5931575624235e-13,"Q8TC05","Nuclear protein MDM1","MDM1","Neurology_II",0.0312015972193706,0.172543165621543
"419","F2R",0.400961890981271,1.68415842252634e-08,1.14483606256849e-07,"Q14696","LRP chaperone MESD","MESD","Neurology",1.91343092606562e-17,1.47763672532429
"420","FABP1",0.892124377355451,8.8539554265211e-06,4.39390691200699e-05,"P53582","Methionine aminopeptidase 1","METAP1","Neurology",0,0
"421","FABP2",0.496113007991807,0.00365963977036115,0.011859342626126,"O75121","Microfibrillar-associated protein 3-like","MFAP3L","Neurology_II",0,0
"422","FABP3",0.337862099366957,0.00858115611476028,0.0245427782029788,"Q08431","Lactadherin","MFGE8","Neurology",0.057291940737744,0.237982546698852
"423","FABP4",0.25615547776309,0.0186170623051455,0.0482426180123584,"Q8IY33","MICAL-like protein 2","MICALL2","Neurology_II",0.000386942132515321,0.42022360232854
"424","FABP5",0.835864963805036,3.72627945752923e-17,8.83306006432105e-16,"P14174","Macrophage migration inhibitory factor","MIF","Neurology",4.38751930462342e-15,1.05535045779524
"425","FABP9",0.193623630463173,0.039459735399593,0.0920517211277018,"Q8N4C8","Misshapen-like kinase 1","MINK1","Neurology_II",1.32179625601388e-17,1.84125918783211
"426","FADD",1.20437182998222,2.05199134049862e-18,6.18347493636851e-17,"Q8WV92","MIT domain-containing protein 1","MITD1","Neurology",1.63836576512978e-15,1.34281231122617
"427","FAM13A",0.73227099649764,8.07068298089523e-12,7.53693493711078e-11,"P45452","Collagenase 3","MMP13","Neurology",0,0
"428","FAM172A",0.588703700052763,1.18293949071448e-10,1.00808516949225e-09,"P08254","Stromelysin-1","MMP3","Neurology",0,0
"429","FAM20A",0.132404753477553,0.04003372237605,0.09316765167611,"P22894","Neutrophil collagenase","MMP8","Neurology",0,0
"430","FAM3C",0.136576823354369,0.0190172472102769,0.0490188832413045,"P14780","Matrix metalloproteinase-9","MMP9","Neurology",0,0
"431","FARSA",0.194799101172939,0.0376309021970848,0.0881371210914093,"Q10571","Transcriptional activator MN1","MN1","Neurology_II",0,0
"432","FAS",0.155604596149418,0.00438460178007597,0.0137849994251314,"Q14149","MORC family CW-type zinc finger protein 3","MORC3","Neurology_II",0,0
"433","FBP1",0.596882807685616,0.00141517407484951,0.00498981160528964,"P05164","Myeloperoxidase","MPO","Neurology",0.0151604244236002,0.296632435951165
"434","FCAR",0.210272593557223,0.0246194449750222,0.0614540031272331,"Q9BV20","Methylthioribose-1-phosphate isomerase","MRI1","Neurology_II",2.32559386504141e-06,0.545619758102999
"435","FCN1",0.252610646284902,0.00567412680803577,0.0170984254225655,"Q13084","39S ribosomal protein L28, mitochondrial","MRPL28","Neurology_II",0,0
"436","FCN2",0.272382748013666,0.0295624873760048,0.0714238016020713,"Q9H2W6","39S ribosomal protein L46, mitochondrial","MRPL46","Neurology",0.0162402068931794,0.15993247185391
"437","FCRL5",0.23133038707096,0.0328311197510064,0.0782113798143371,"Q14197","Peptidyl-tRNA hydrolase ICT1, mitochondrial","MRPL58","Neurology_II",0.0741128411338679,0.273133972014888
"438","FDX2",0.931660929840533,4.22005997419135e-12,4.01799195588317e-11,"Q96KJ4","Mesothelin-like protein","MSLNL","Neurology_II",0,0
"439","FEN1",0.545333220666691,0.000429488623819845,0.00164318749663012,"P21757","Macrophage scavenger receptor types I and II","MSR1","Neurology",0.00531250609107169,0.314446367918463
"440","FGD3",0.286417787912182,0.00542251383635051,0.0164474732304369,"P13995","Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial","MTHFD2","Neurology_II",0.0120567585600716,0.214232920650578
"441","FGF16",0.251896516320899,0.0105374311233254,0.0295025692392475,"Q9H3R2","Mucin-13","MUC13","Neurology",0,0
"442","FGF2",0.260415729086277,3.42038900810319e-07,1.99159304196925e-06,"O75592","E3 ubiquitin-protein ligase MYCBP2","MYCBP2","Neurology_II",0.0263308448204181,0.325006714561685
"443","FGF21",0.541374162271735,0.0138831674325975,0.0375397765083093,"P14649","Myosin light chain 6B","MYL6B","Neurology_II",0,0
"444","FGF23",0.211292013929752,0.0335979564274144,0.0799729858610197,"Q96A32","Myosin regulatory light chain 2, skeletal muscle isoform","MYLPF","Neurology_II",0.0570901171190665,0.324866655903534
"445","FGF5",-0.174613324682852,0.0168074648586316,0.0443395485395128,"Q9UM54","Unconventional myosin-VI","MYO6","Neurology_II",0,0
"446","FGFBP1",-0.134186557207441,0.0284085633651692,0.0693853808699134,"Q99972","Myocilin","MYOC","Neurology",0,0
"447","FGFR2",0.111051688007275,0.0106669506576427,0.029779844099608,"P52179","Myomesin-1","MYOM1","Neurology_II",0,0
"448","FHIT",1.15524311538006,2.63396723605687e-15,4.18428599510556e-14,"Q93015","N-alpha-acetyltransferase 80","NAA80","Neurology_II",3.28948695268935e-07,0.819289251141563
"449","FIS1",1.00191158708675,4.84946170840352e-13,5.21138844619981e-12,"Q02083","N-acylethanolamine-hydrolyzing acid amidase","NAAA","Neurology",0,0
"450","FKBP14",1.23468798098722,5.61809397125118e-19,2.13268684129444e-17,"Q6XQN6","Nicotinate phosphoribosyltransferase","NAPRT","Neurology_II",6.03667900532062e-08,0.494807979112824
"451","FKBP1B",2.18833016604666,6.12238648952085e-17,1.36608669533355e-15,"O43776","Asparagine--tRNA ligase, cytoplasmic","NARS1","Neurology_II",1.10551692331779e-16,0.826802992708179
"452","FKBP4",0.776783070076569,7.80440574195487e-20,4.07362106852394e-18,"O15394","Neural cell adhesion molecule 2","NCAM2","Neurology",0,0
"453","FKBP5",1.55446124477975,2.23919249077806e-22,4.67511403610305e-20,"O14594","Neurocan core protein","NCAN","Neurology",0.0245427782029788,-0.196789268390687
"454","FKBP7",0.183443564080261,0.0178414481053091,0.046604604836299,"Q92597","Protein NDRG1","NDRG1","Neurology",0,0
"455","FKBPL",0.689662837447507,1.29893007218633e-10,1.10051379739149e-09,"P07196","Neurofilament light polypeptide","NEFL","Neurology",0,0
"456","FLI1",0.988681960908637,5.18784477747729e-13,5.55460449984107e-12,"Q92859","Neogenin","NEO1","Neurology_II",0,0
"457","FMR1",0.318413686404176,3.58456473401e-05,0.000162696936607317,"P08651","Nuclear factor 1 C-type","NFIC","Neurology_II",0,0
"458","FN1",0.165491414393254,0.000856843795978434,0.00312288580504359,"P01138","Beta-nerve growth factor","NGF","Neurology",0,0
"459","FNTA",0.313740488383782,3.7813804045739e-07,2.18870790545931e-06,"Q9NPE2","Neugrin","NGRN","Neurology_II",1.04046733005299e-05,0.281658545408561
"460","FOLH1",0.356586803738055,0.0162151008350435,0.0430488099371771,"Q14112","Nidogen-2","NID2","Neurology",2.98084094385657e-05,0.313311679375346
"461","FOLR3",0.789519197571496,0.0285923922577501,0.0694149190775776,"Q8N2Q7","Neuroligin-1","NLGN1","Neurology_II",0,0
"462","FOXJ3",0.191291757524323,0.0036841159957491,0.0119254385997504,"Q8NFZ4","Neuroligin-2","NLGN2","Neurology_II",0,0
"463","FOXO1",0.528713054727677,6.98196203179925e-07,3.92466827287485e-06,"Q9HAN9","Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1","NMNAT1","Neurology",0.0145592189109654,0.291250527399378
"464","FSTL3",0.181746593431641,0.00887065583402707,0.0252938360733448,"P30419","Glycylpeptide N-tetradecanoyltransferase 1","NMT1","Neurology_II",3.73317794315034e-07,0.626007259939721
"465","FTCD",0.584200109149735,0.00080904602346937,0.00297090644045348,"Q15155","Nodal modulator 1","NOMO1","Neurology",0.00034575580619691,0.192880247454101
"466","FUOM",0.605003654209245,2.77658699115332e-05,0.000127810453151829,"P29475","Nitric oxide synthase, brain","NOS1","Neurology",0,0
"467","FURIN",0.136812906474256,0.0285226979302064,0.0694149190775776,"P29474","Nitric oxide synthase, endothelial","NOS3","Neurology",0,0
"468","FUS",0.20372753109948,0.00215554415333818,0.00731783456470095,"P06748","Nucleophosmin","NPM1","Neurology",0.018135661749962,0.382040096845505
"469","FUT8",0.228281234579449,0.00261112248653199,0.00872264117500916,"Q15818","Neuronal pentraxin-1","NPTX1","Neurology",0,0
"470","FXN",1.26702789703166,2.22076628967139e-20,1.54554758683559e-18,"Q9NPD7","Neuritin","NRN1","Neurology_II",0,0
"471","FXYD5",0.807461696829613,4.75450112796036e-13,5.12819439004729e-12,"O60462","Neuropilin-2","NRP2","Neurology",0.00871359582693164,0.161262330312754
"472","FYB1",1.8941650294297,1.08148672720039e-23,6.12369363052864e-21,"Q9Y4C0","Neurexin-3","NRXN3","Neurology_II",0,0
"473","GADD45GIP1",0.728472583972889,6.13934910440538e-15,9.20272688829585e-14,"Q9UNZ2","NSFL1 cofactor p47","NSFL1C","Neurology",1.54310035692336e-13,0.965874574342082
"474","GALNT10",0.168629162090693,0.00282890672399935,0.00939647085710239,"Q9BXI3","Cytosolic 5'-nucleotidase 1A","NT5C1A","Neurology_II",5.0861050546119e-05,0.331959819666851
"475","GALNT2",0.122300055277358,0.0434141521573101,0.0996071952557438,"Q16288","NT-3 growth factor receptor","NTRK3","Neurology",0,0
"476","GAPDH",0.917236678508809,1.44153467265458e-10,1.21080627820958e-09,"Q9UKK9","ADP-sugar pyrophosphatase","NUDT5","Neurology",8.90039210802888e-17,0.797765267073971
"477","GAS2",0.368474040584475,0.00117986087985797,0.00421090763348578,"P58417","Neurexophilin-1","NXPH1","Neurology",0,0
"478","GATD3",0.905767582762793,3.62984061390531e-10,2.90685592176582e-09,"Q9NPH6","Odorant-binding protein 2b","OBP2B","Neurology",0,0
"479","GBP1",0.616595225226958,3.91941549168655e-05,0.000177344450188851,"Q16625","Occludin","OCLN","Neurology_II",9.31545687547676e-05,0.436589668125591
"480","GBP2",0.83362001723742,5.63438881006278e-07,3.18555483400648e-06,"A1E959","Odontogenic ameloblast-associated protein","ODAM","Neurology",0,0
"481","GCC1",1.65599479429913,1.25700177157618e-23,6.12369363052864e-21,"P20774","Mimecan","OGN","Neurology",0,0
"482","GCHFR",0.444421756646843,0.000167141504515178,0.0006852098424935,"P47874","Olfactory marker protein","OMP","Neurology_II",0,0
"483","GCLM",0.261890059769379,0.0105334815802963,0.0295025692392475,"O60890","Oligophrenin-1","OPHN1","Neurology_II",7.3842562128708e-07,0.639226319943118
"484","GCNT1",0.227308389474769,0.000269735395127989,0.00106258296490446,"Q9H1P3","Oxysterol-binding protein-related protein 2","OSBPL2","Neurology_II",0,0
"485","GDF15",0.324352027530107,0.00087363354621941,0.00317615778059619,"P61366","Osteocrin","OSTN","Neurology_II",0,0
"486","GET3",0.386511944485215,5.40416858106233e-05,0.00024043203595807,"Q7RTW8","Otoancorin","OTOA","Neurology_II",0,0
"487","GFER",0.505430028411402,1.58559975156255e-05,7.67335773810815e-05,"Q6GQQ9","OTU domain-containing protein 7B","OTUD7B","Neurology_II",1.54310035692336e-13,0.672560959239024
"488","GFRA1",0.139732546174064,0.0183690118661292,0.0477692363742844,"P01178","Oxytocin-neurophysin 1","OXT","Neurology",0.00822799180203707,0.879578613808133
"489","GGACT",0.734732665005398,4.5068569359445e-13,4.89722781552631e-12,"Q9UM07","Protein-arginine deiminase type-4","PADI4","Neurology",0,0
"490","GGCT",0.756529984784495,1.76224334281754e-14,2.40702677152134e-13,"P09466","Glycodelin","PAEP","Neurology",0,0
"491","GGT1",0.388322159982576,0.00125821321360545,0.00447415720604469,"Q15102","Platelet-activating factor acetylhydrolase IB subunit alpha1","PAFAH1B3","Neurology_II",0,0
"492","GIGYF2",0.483141075030931,0.000133959669063481,0.000553056656317167,"O96013","Serine/threonine-protein kinase PAK 4","PAK4","Neurology",0.000981515925478435,0.478129930732601
"493","GIPC2",0.233506592089715,0.000225333956365975,0.000901339647450962,"Q8IXS6","Paralemmin-2","PALM2","Neurology_II",0.000113069931334703,0.401808505693626
"494","GIPC3",1.73163953566117,5.35413638876654e-20,3.19390625803359e-18,"Q6UXH9","Inactive serine protease PAMR1","PAMR1","Neurology",0,0
"495","GIT1",0.737830413841061,3.42070473585646e-08,2.24690335795695e-07,"Q99497","Parkinson disease protein 7","PARK7","Neurology",1.84607337681619e-16,0.856536445292942
"496","GLA",0.349551116743352,5.3745474920226e-08,3.45270380641364e-07,"P30039","Phenazine biosynthesis-like domain-containing protein","PBLD","Neurology",0.0031166115163127,0.433306316625616
"497","GLB1",0.428469466517718,1.26084579285999e-06,6.87584375471969e-06,"A6NGG8","Photoreceptor cilium actin regulator","PCARE","Neurology_II",0,0
"498","GLO1",0.657594381983065,3.50727736727265e-09,2.51268915307303e-08,"Q15366","Poly(rC)-binding protein 2","PCBP2","Neurology_II",7.29362853023667e-11,0.71368990999481
"499","GLOD4",0.61298902429001,1.90385002759044e-20,1.39123840766171e-18,"Q9NPG4","Protocadherin-12","PCDH12","Neurology_II",0.0164474732304369,0.125320238490139
"500","GLRX",0.544752189434502,2.22146158764395e-05,0.00010473116484973,"O14737","Programmed cell death protein 5","PDCD5","Neurology",1.11909572101631e-13,0.802620537477602
"501","GLRX5",1.02573740433501,7.42805954649936e-15,1.10214304844759e-13,"Q96HC4","PDZ and LIM domain protein 5","PDLIM5","Neurology_II",8.43702159853942e-15,1.01217093613076
"502","GLYR1",0.297530184325984,0.00408834013893285,0.0130460897664855,"Q9NUG6","p53 and DNA damage-regulated protein 1","PDRG1","Neurology_II",0,0
"503","GMFG",0.909347565886199,1.35824796920398e-14,1.89055181618249e-13,"P30086","Phosphatidylethanolamine-binding protein 1","PEBP1","Neurology",2.30520562496284e-16,0.905306581743862
"504","GMPR",0.765384281331732,3.16467130749462e-13,3.53066192053694e-12,"P16284","Platelet endothelial cell adhesion molecule","PECAM1","Neurology",0.013060944804222,0.123219563107203
"505","GMPR2",1.06733647276915,2.8253639371431e-17,7.05858016091393e-16,"Q9UHV9","Prefoldin subunit 2","PFDN2","Neurology",0.000963836935301127,0.345819712886198
"506","GNE",0.388607987340179,7.30339366713862e-06,3.6491999468455e-05,"O15212","Prefoldin subunit 6","PFDN6","Neurology_II",0,0
"507","GNPDA1",0.155770764936802,0.00355337054917935,0.0115277492955064,"Q96G03","Phosphoglucomutase-2","PGM2","Neurology_II",0.0105493857227177,0.346669636044964
"508","GNPDA2",0.234278828400023,0.000499357638139828,0.00189561347569184,"O75167","Phosphatase and actin regulator 2","PHACTR2","Neurology_II",1.10042928813029e-09,1.09071372813336
"509","GOLGA3",0.28227788002298,0.0226202801235494,0.0569011005173278,"Q8TCT1","Phosphoethanolamine/phosphocholine phosphatase","PHOSPHO1","Neurology",0,0
"510","GOPC",1.47424012798594,5.88899464356242e-19,2.1789280181181e-17,"Q8WXW3-4","Progesterone-induced-blocking factor 1, Isoform 4","PIBF1","Neurology_II",0.000117430832658426,0.597479003238148
"511","GORASP2",0.602005774479044,1.23784618498255e-12,1.25198076079723e-11,"P01833","Polymeric immunoglobulin receptor","PIGR","Neurology",0.0204541472647495,0.171065156601749
"512","GOT1",0.583020965077361,1.10263334858609e-06,6.06967472300777e-06,"Q96FE7","Phosphoinositide-3-kinase-interacting protein 1","PIK3IP1","Neurology",0,0
"513","GP1BA",0.113343102223359,0.0413800476721193,0.0956311205735795,"Q9UKJ1","Paired immunoglobulin-like type 2 receptor alpha","PILRA","Neurology",0.0672511393157269,0.179818819353936
"514","GP2",-0.357227915749465,0.0221048597785696,0.0558448618260665,"O15496","Group 10 secretory phospholipase A2","PLA2G10","Neurology",0,0
"515","GP5",0.475023827958061,4.36412354920387e-09,3.09619736269974e-08,"Q13093","Platelet-activating factor acetylhydrolase","PLA2G7","Neurology",0.0720120507417594,0.120009958400474
"516","GP6",0.701427544401316,9.28041669083113e-13,9.61938226499978e-12,"P00749","Urokinase-type plasminogen activator","PLAU","Neurology",0,0
"517","GPD1",0.538146972404912,1.84526551246251e-05,8.85666846129376e-05,"Q6P1J6","Phospholipase B1, membrane-associated","PLB1","Neurology_II",0,0
"518","GPI",0.793757694224386,6.21144590749262e-14,7.6932442320343e-13,"Q00722","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2","PLCB2","Neurology_II",1.43530724744777e-13,1.46338596748398
